"ΑΑ","netlib","n","m","n.b","spA","spB","spC","Mac50","Mac90","Lambda50","Lambda90","RAD50","RAD90","GRAD50","GRAD90","minML50","minML90","mML50","mML90","gmML50","gmML90"
"26","israel",316,174,0.189655172413793,0.0444311072311945,0.982758620689655,0.281645569620253,0.5,0.607594936708861,0.719298245614035,1,0.431034482758621,0.631034482758621,0.482758620689655,0.674712643678161,0.574803149606299,0.755905511811024,0.672504378283713,0.935201401050788,0.661065710815307,0.904488954665523
"27","lotfi",366,153,0.607843137254902,0.0202864388013858,0.320261437908497,0.0218579234972678,0.503267973856209,0.503267973856209,0.633986928104575,0.939869281045752,0.488372093023256,0.488372093023256,1,1,1,1,0.760869565217391,0.96,0.796232960950861,0.969467616361301
"28","maros_r7",9408,3136,0.864477040816326,0.00490952120644172,0.998724489795918,0.666666666666667,1,1,0.447225765306122,0.809630102040816,1,1,1,1,0.89203821656051,1,0.63121546961326,0.873140671483213,0.668272407184436,0.899794477667436
"29","modszk1",1620,687,0.754002911208151,0.00284651463690766,0.0203784570596798,0.611111111111111,0.497420781134856,0.497420781134856,0.486171761280932,0.486171761280932,1,1,1,1,0.98962962962963,0.98962962962963,0.65544167886774,0.65544167886774,0.6972601819127,0.6972601819127
"30","osa_07",25067,1118,0.325581395348837,0.00516726086431829,0.96690518783542,0.955399529261579,1,1,0.514758497316637,0.758944543828265,0.527728085867621,0.920438282647585,0.514758497316637,0.759838998211091,1,1,0.676698450536353,0.839392133492253,0.717466722097016,0.871174232761888
"31","osa_14",54797,2337,0.339751818570817,0.00247614822386921,0.984167736414206,0.957351679836487,1,1,0.467479674796748,0.772571673085152,0.524604193410355,0.932391955498502,0.467479674796748,0.772999572100984,0.934159897392048,1,0.645087694282048,0.848424354769713,0.68372485313666,0.878960564010213
"32","pds_02",7716,2953,0.962411107348459,0.000727265609460903,0.06874365052489,0.63011923276309,1,1,0.361496782932611,0.903792753132408,0.483378561736771,0.904850746268657,0.51032847951236,0.919742634608872,0.722504230118443,1,0.574427265545649,0.935876311928676,0.601246025294646,0.950680151405879
"33","perold",1506,625,0.7296,0.00653173970783538,0.344,0.00531208499335989,0.5072,0.5072,0.3208,0.852,0.516492357200322,0.516492357200322,0.4496,0.4496,0.370609981515712,0.585951940850277,0.443825042881647,0.728559176672384,0.433558972487906,0.706560898041491
"34","pilot",4860,1441,0.879944482997918,0.00633633479265372,0.195697432338654,0.0109053497942387,0.469217391304348,0.469217391304348,0.400416377515614,0.861415683553088,0.546148507980569,0.546148507980569,0.546842470506593,0.546842470506593,0.409510290986515,0.478708303761533,0.439662743720358,0.696574740909889,0.4383484349795,0.656572080471594
"35","pilot4",1123,410,0.682926829268293,0.011432791086593,0.402439024390244,0.00356188780053424,0.52014652014652,0.52014652014652,0.3,0.828780487804878,0.488372093023256,0.488372093023256,0.418292682926829,0.418292682926829,0.376146788990826,0.651376146788991,0.456211812627291,0.760488798370672,0.442325042652872,0.743046920584752
